sw,lw,pre,u10,vpd,lh,mean_2m_air_temperature,total_precipitation
114.729,222.727,87.166,2.377,5.221,50.8228,275.47314453125,3.0621886253356934e-06
113.486,233.64,87.754,1.733,4.797,50.4256,274.69488525390625,0.0
110.869,245.98,87.826,1.635,5.113,51.9764,274.71368408203125,0.0
109.298,271.684,87.668,2.594,6.246,51.1414,278.7828063964844,0.0
105.19,280.859,87.26,2.414,5.786,51.2864,280.6900634765625,0.0
92.363,297.346,86.879,1.943,5.473,53.3842,280.48028564453125,0.0
102.47,302.984,86.924,1.307,5.971,52.6497,281.110595703125,0.0
69.022,306.455,86.459,2.386,5.254,52.6918,280.7745056152344,0.0
10.898,332.1,85.982,3.395,3.368,54.3466,279.802001953125,0.0265046413987875
38.248,331.4,86.028,4.022,3.176,53.3971,279.1159362792969,0.0175461247563362
44.861,302.299,86.187,2.679,3.219,51.8859,276.6393737792969,0.0375660620629787
118.83,240.088,87.001,1.13,3.908,31.4841,272.9761962890625,0.0019667707383632
51.042,283.004,87.128,1.629,4.575,24.8392,271.3268737792969,0.001657972112298
55.209,302.204,86.951,1.085,3.393,28.5752,276.3551025390625,0.0090991258621215
76.773,289.152,86.545,1.115,3.9,25.0864,276.7887268066406,0.0
21.68,335.649,86.084,1.778,4.145,24.9891,277.8278503417969,0.0042161177843809
35.091,343.024,86.376,2.825,3.153,28.6229,279.0245056152344,0.0206812005490064
7.854,350.175,86.766,2.725,3.125,25.1377,279.9044189453125,0.0383785367012023
1.652,343.534,86.55,3.105,3.126,24.8894,280.4142761230469,0.0600550398230552
70.308,303.2,87.063,1.097,3.777,28.4797,277.7350769042969,0.004251942038536
20.082,328.123,87.042,2.558,3.939,24.9659,277.8086242675781,0.0150890368968248
0.221,354.561,86.697,1.919,3.149,24.7327,280.6236267089844,0.0565254092216491
20.495,357.081,86.947,2.076,3.135,30.9894,281.3288879394531,0.0169835370033979
55.643,334.477,87.154,1.677,3.303,27.204,283.0721130371094,0.0140425153076648
70.632,313.228,86.283,3.394,4.102,27.0637,280.9520263671875,0.0096674654632806
71.679,299.794,86.437,1.851,3.285,32.5165,277.1310729980469,0.0297230184078216
77.572,277.461,86.584,1.094,3.715,28.4499,275.26727294921875,0.0032871142029762
128.105,254.48,86.799,1.077,4.417,28.2404,274.215087890625,4.284083843231201e-08
115.097,282.974,86.938,0.817,4.709,32.2854,275.86383056640625,2.7939677238464355e-06
109.489,294.661,86.802,2.064,4.934,28.3079,276.7456359863281,1.862645149230957e-09
111.924,283.119,86.955,1.314,5.021,28.0399,277.5094909667969,0.0014858208596706
118.075,275.185,86.96,1.747,6.326,32.0941,278.8546142578125,0.0
87.919,313.838,86.78,2.312,5.858,28.1645,279.8225402832031,0.0011080745607614
92.339,308.612,86.754,1.122,3.883,28.0977,281.3770446777344,0.0182449072599411
116.593,287.112,86.394,2.345,5.563,32.2631,280.124755859375,0.0
43.284,323.087,86.308,3.011,3.443,28.401,280.8268127441406,0.0297728553414344
122.773,264.942,86.504,1.623,4.749,27.9665,277.2943115234375,0.001597786322236
46.891,296.869,86.132,2.381,4.984,32.1588,278.8649597167969,0.0009270329028367
19.352,322.526,86.016,3.453,3.348,28.3498,278.0467834472656,0.0118558667600154
9.341,346.002,85.513,4.329,3.291,28.3221,279.4603271484375,0.0337639227509498
7.217,329.994,84.735,3.156,3.566,32.4756,280.5687561035156,0.0588071905076503
70.462,304.628,85.832,2.037,3.305,28.6536,276.3974609375,0.0055992994457483
42.543,319.781,86.301,3.328,3.602,28.5783,278.3334045410156,0.0116374678909778
21.275,334.002,85.58,4.618,3.547,32.8303,280.6077575683594,0.0304361823946237
15.884,324.831,85.938,4.653,3.222,28.9449,278.2375793457031,0.0291898250579834
60.959,315.553,86.434,2.122,3.171,28.9694,277.7350158691406,0.0223516430705785
164.469,265.273,86.924,0.983,4.199,33.4701,277.0848083496094,0.0048440843820571
31.778,302.792,87.065,2.422,3.821,29.3817,276.3662414550781,0.0079024378210306
120.556,292.751,87.167,1.114,3.926,29.2302,277.81915283203125,0.0153375808149576
4.385,328.599,86.921,2.252,3.541,33.4701,277.6117248535156,0.0126833673566579
131.586,304.696,86.652,1.172,3.934,28.6625,279.4825439453125,0.0068134516477584
39.254,324.145,85.625,3.607,3.268,28.2373,278.724365234375,0.0325705483555793
148.811,269.354,86.183,1.016,4.113,32.3606,276.9892272949219,0.0081490147858858
87.26,284.979,85.792,3.008,3.769,28.4358,275.1011657714844,0.0043578874319791
138.986,286.274,86.139,1.149,3.779,28.3221,276.4820861816406,0.0111465007066726
131.505,296.668,86.984,1.268,4.238,32.4756,276.2059631347656,0.0003722179681062
13.6,323.026,86.524,3.3,3.309,28.772,277.5964050292969,0.0242980159819126
147.953,275.696,86.623,1.044,4.063,28.7993,275.9242248535156,0.0068507147952914
6.695,321.719,86.251,3.817,3.467,33.1779,277.13824462890625,0.0309421829879283
123.505,297.907,86.387,1.812,3.606,29.3018,277.1881408691406,0.0148726683109998
20.031,312.095,85.784,3.069,3.324,29.3263,277.45977783203125,0.0272495076060295
169.334,260.785,86.107,1.454,4.289,33.4148,275.5909423828125,0.0024807937443256
144.129,262.003,86.722,0.927,4.726,29.057,276.1069641113281,0.0005016066133975
173.599,280.602,86.756,0.965,4.512,28.5951,277.0733642578125,0.0002439208328723
167.819,266.105,86.946,0.764,4.633,32.3856,278.25616455078125,0.0001767836511135
184.124,276.602,87.198,0.793,4.555,28.1161,278.6947631835937,0.0
150.128,294.613,87.046,0.781,4.255,27.8357,279.8006286621094,2.598389983177185e-06
156.585,310.458,86.725,1.125,3.973,31.7442,281.080322265625,0.0008723773062229
194.972,279.95,86.552,1.321,4.424,27.7419,280.6021728515625,0.0080113913863897
224.625,226.731,86.389,1.476,5.36,27.5191,276.4313659667969,5.029141902923584e-06
69.286,301.918,86.052,1.394,4.172,31.4841,276.1482849121094,0.0030578076839447
210.437,247.698,86.164,1.817,4.641,29.8371,275.0743713378906,0.0188325140625238
193.606,257.921,86.811,1.532,4.904,29.6832,274.0782775878906,0.0
189.906,279.28,87.099,1.066,4.631,33.9889,277.7126159667969,0.0026154331862926
230.335,255.28,87.24,1.558,6.012,29.8371,278.2033386230469,0.0
232.75,264.944,87.246,1.314,6.488,29.6832,279.5541381835937,0.0
220.996,281.175,86.949,1.112,6.885,33.378,282.08038330078125,5.587935447692871e-07
171.535,305.346,86.476,1.836,5.619,28.9178,281.9699401855469,0.000161375850439
157.628,306.67,86.451,0.942,3.921,28.4363,281.5426940917969,0.0022291038185358
238.648,281.063,86.703,1.534,6.169,32.2651,281.8874206542969,5.612894892692566e-05
220.111,302.709,86.779,0.969,5.378,28.1161,282.8282775878906,4.284083843231201e-08
194.25,310.056,86.487,1.162,5.279,27.8357,283.8354797363281,0.001399926841259
